Step,Files,Nodes,Edges,Density,Avg Degree,Clustering Coeff,Num Components,GC Size (Nodes),GC Size (Edges),GC Coverage (%),Diameter,Avg Path Length
1,1,348,2866,0.047468,16.47,0.6546,1,348,2866,100.00,2,1.9472
2,2,1390,30654,0.031754,44.11,0.5944,1,1390,30654,100.00,3,2.3595
3,3,2167,45414,0.019351,41.91,0.5739,1,2167,45414,100.00,4,2.6997
4,4,2916,76190,0.017927,52.26,0.5969,1,2916,76190,100.00,4,3.0543
5,5,3463,81550,0.013604,47.10,0.6011,1,3463,81550,100.00,6,3.4554
6,6,3670,84875,0.012607,46.25,0.6013,1,3670,84875,100.00,5,3.4672
7,7,3730,85080,0.012234,45.62,0.6022,2,3670,84875,98.39,5,3.4285
8,8,3833,86243,0.011743,45.00,0.6038,1,3833,86243,100.00,6,3.5201
9,9,4003,88069,0.010995,44.00,0.6045,1,4003,88069,100.00,8,3.6979
10,10,4039,88234,0.010820,43.69,0.6055,1,4039,88234,100.00,8,3.7446
