Num_Files,Nodes,Edges,Complex_V,Complex_E,Complex_V_VE,Time_Degree,Time_Betweenness,Time_Closeness,Time_Eigenvector
1,348,2866,348,2866,1118472,0.00015163421630859375,0.17407560348510742,0.06783461570739746,0.007260799407958984
2,1390,30654,1390,30654,44541160,0.0004513263702392578,7.520608901977539,2.87180233001709,0.09625244140625
3,2167,45414,2167,45414,103108027,0.0006430149078369141,16.24537444114685,6.945832014083862,0.18252992630004883
4,2916,76190,2916,76190,230673096,0.000965118408203125,39.526015520095825,16.02676558494568,0.6221580505371094
5,3463,81550,3463,81550,294400019,0.0012009143829345703,51.99892330169678,21.340966939926147,0.686147928237915
6,3670,84875,3670,84875,324960150,0.0011358261108398438,58.520113468170166,23.738961935043335,0.7214345932006836
7,3730,85080,3730,85080,331261300,0.0012483596801757812,59.331401109695435,24.100593090057373,0.7207849025726318
8,3833,86243,3833,86243,345261308,0.0013453960418701172,63.647990703582764,25.874663829803467,0.7310445308685303
9,4003,88069,4003,88069,368564216,0.0013725757598876953,74.59119534492493,29.679044008255005,0.7499754428863525
10,4039,88234,4039,88234,372690647,0.0014302730560302734,69.253169298172,28.129544734954834,0.755638599395752
