Num_Files,Nodes,Edges,Complex_V,Complex_E,Complex_V_VE,Time_Degree,Time_Betweenness,Time_Closeness,Time_Eigenvector
1,348,2866,348,2866,1118472,0.00013780593872070312,0.2253890037536621,0.08369302749633789,0.00851130485534668
2,1390,30654,1390,30654,44541160,0.0004978179931640625,8.265569925308228,3.0866787433624268,0.08996701240539551
3,2167,45414,2167,45414,103108027,0.0006997585296630859,18.8040771484375,7.009843826293945,0.16577577590942383
4,2916,76190,2916,76190,230673096,0.0009388923645019531,43.49548625946045,15.37957215309143,0.5317258834838867
5,3463,81550,3463,81550,294400019,0.0011050701141357422,55.98215293884277,19.92905616760254,0.5807318687438965
6,3670,84875,3670,84875,324960150,0.0011720657348632812,62.70431089401245,22.19921898841858,0.6105639934539795
7,3730,85080,3730,85080,331261300,0.0011792182922363281,62.749181032180786,22.322239875793457,0.6124668121337891
8,3833,86243,3833,86243,345261308,0.0012669563293457031,66.74483609199524,23.69967007637024,0.6213650703430176
9,4003,88069,4003,88069,368564216,0.0012879371643066406,71.95593023300171,25.835198879241943,0.6393260955810547
10,4039,88234,4039,88234,372690647,0.001291036605834961,73.41072726249695,26.06782293319702,0.6374468803405762
