graph_id,nodes,edges,p,q,num_walks,walk_length,train_time,inference_time,total_runtime,memory_mb,sample_size,precision,recall,f1_score,roc_auc,map,true_positives
1,348,2866,0.7,0.7,10,80,16.242206811904907,1.10848069190979,17.350687503814697,22.19474983215332,50,0.14947368421052631,0.12369337979094076,0.1353670162059104,0.8523000000000001,0.2953981428429958,71
2,1390,30654,0.7,0.7,10,80,137.56137585639954,4.227860927581787,141.78923678398132,153.9108009338379,50,0.30522088353413657,0.02479204045017126,0.04585910393724544,0.9641000000000001,0.2627834817628369,152
3,2167,45414,0.7,0.7,10,80,211.41868233680725,6.346114635467529,217.76479697227478,223.45996761322021,50,0.252,0.013872068699768798,0.026296566837107373,0.9555,0.35281282988965623,126
4,2916,76190,0.7,0.7,10,80,359.20217776298523,8.914113283157349,368.1162910461426,365.10042095184326,50,0.3165322580645161,0.010303189394933718,0.019956781492309648,0.9884999999999999,0.23323759739071576,157
5,3463,81550,0.7,0.7,10,80,411.3534185886383,10.532520055770874,421.8859386444092,401.2660140991211,50,0.2796780684104628,0.008522378908645004,0.016540727078003217,0.9875,0.29281856687374375,139
6,3670,84875,0.7,0.7,10,80,444.9701075553894,11.758298397064209,456.7284059524536,417.85526943206787,50,0.2891566265060241,0.008483063328424153,0.01648257311280261,0.9934000000000001,0.2919711664957277,144
7,3730,85080,0.7,0.7,10,80,463.9178833961487,11.551396369934082,475.46927976608276,420.9368724822998,50,0.22132796780684105,0.006464503996238834,0.012562096728144808,0.9931,0.2913661120530191,110
8,3833,86243,0.7,0.7,10,80,454.8754816055298,7.554835319519043,462.4303169250488,428.1613578796387,50,0.282,0.008174386920980926,0.015888219054594626,0.9767,0.2511884374808689,141
9,4003,88069,0.7,0.7,10,80,446.7317681312561,6.60896635055542,453.3407344818115,439.3567714691162,50,0.23647294589178355,0.0066992165323038495,0.013029315960912053,0.9911,0.2817878653471874,118
10,4039,88234,0.7,0.7,10,80,382.07036089897156,6.290558576583862,388.3609194755554,441.215744972229,50,0.25201612903225806,0.007083356944523149,0.013779419059692443,0.9875,0.34376783091915447,125
