graph_id,algorithm,nodes,edges,train_edges,test_edges,precision,recall,f1_score,roc_auc,runtime,memory_mb,true_positives,total_predictions,sample_size
1,Resource Allocation,348,2866,2292,574,0.15657620041753653,0.13066202090592335,0.14245014245014245,0.9506,0.18416643142700195,0.95703125,75,479,50
1,Preferential Attachment,348,2866,2292,574,0.060240963855421686,0.05226480836236934,0.055970149253731345,0.8715999999999999,0.11374282836914062,0.3125,30,498,50
2,Preferential Attachment,1390,30654,24523,6131,0.066,0.005382482466155603,0.009953249886894886,0.8058,0.7802720069885254,0.39453125,33,500,50
1,Jaccard Coefficient,348,2866,2292,574,0.12761506276150628,0.10627177700348432,0.11596958174904944,0.835,0.2027742862701416,0.97265625,61,478,50
2,Adamic-Adar,1390,30654,24523,6131,0.29979879275653926,0.024302723862338935,0.04496077248038624,0.9863999999999999,1.9079158306121826,1.546875,149,497,50
1,Adamic-Adar,348,2866,2292,574,0.15592515592515593,0.13066202090592335,0.14218009478672988,0.9458,0.22441577911376953,0.97265625,75,481,50
1,Common Neighbors,348,2866,2292,574,0.14315352697095435,0.12020905923344948,0.13068181818181818,0.9352,0.08095407485961914,0.66015625,69,482,50
2,Common Neighbors,1390,30654,24523,6131,0.29577464788732394,0.023976512803784048,0.04435727217863609,0.9807999999999999,1.0992581844329834,1.3515625,147,497,50
2,Jaccard Coefficient,1390,30654,24523,6131,0.2834008097165992,0.02283477409884195,0.04226415094339623,0.9828,1.9254791736602783,1.73046875,140,494,50
2,Resource Allocation,1390,30654,24523,6131,0.30784708249496984,0.024955145979448704,0.046167773083886546,0.9968,1.555058240890503,1.7421875,153,497,50
3,Preferential Attachment,2167,45414,36331,9083,0.0653061224489796,0.003523065066607949,0.00668546954977541,0.8126,1.9551711082458496,0.1,32,490,50
3,Common Neighbors,2167,45414,36331,9083,0.29591836734693877,0.015963888583067267,0.030293533897419823,0.9856,4.542071342468262,0.23046875,145,490,50
4,Preferential Attachment,2916,76190,60952,15238,0.03,0.0009843811523822024,0.0019062142584826535,0.8752000000000001,3.893435478210449,0.1,15,500,50
3,Resource Allocation,2167,45414,36331,9083,0.31901840490797545,0.01717494219971375,0.03259506895110739,0.994,6.264400959014893,0.1,156,489,50
3,Adamic-Adar,2167,45414,36331,9083,0.310838445807771,0.016734559066387756,0.03175929795236105,0.9924,8.930095195770264,0.16015625,152,489,50
3,Jaccard Coefficient,2167,45414,36331,9083,0.2827868852459016,0.01519321809974678,0.02883711210949744,0.9543999999999999,9.413388013839722,0.1171875,138,488,50
4,Adamic-Adar,2916,76190,60952,15238,0.36619718309859156,0.011943824648904056,0.02313314267556403,0.9881999999999999,10.057204246520996,0.1,182,497,50
4,Common Neighbors,2916,76190,60952,15238,0.358148893360161,0.011681323008268801,0.022624721957419762,0.9873999999999999,10.920291185379028,0.1,178,497,50
5,Preferential Attachment,3463,81550,65240,16310,0.03,0.0009196811771919068,0.001784651992861392,0.8046,5.162164688110352,0.1,15,500,50
4,Resource Allocation,2916,76190,60952,15238,0.3714859437751004,0.012140700879380496,0.023512963904422975,0.9885999999999999,11.377496480941772,0.1,185,498,50
4,Jaccard Coefficient,2916,76190,60952,15238,0.3380281690140845,0.011025068906680667,0.021353670162059107,0.9829999999999999,14.279710054397583,0.1,168,497,50
5,Common Neighbors,3463,81550,65240,16310,0.304,0.00931943592887799,0.018084473527662105,0.9958,11.44334864616394,0.1,152,500,50
